id,value
대한민국,
대한민국.강원도,
대한민국.경기도.용인시.남자(내),516763
대한민국.경기도.용인시.여자(내),525760
대한민국.경기도.용인시.남자(외),13586
대한민국.경기도.용인시.여자(외),11238
대한민국.경기도.오산시,
대한민국.경기도.오산시.남자(내),117164
대한민국.경기도.오산시.여자(내),109080
대한민국.경기도.오산시.남자(외),8298
대한민국.경기도.오산시.여자(외),7755
대한민국.경기도.영통구,
대한민국.경기도.영통구.남자(내),178967
대한민국.경기도.영통구.여자(내),177750
대한민국.경기도.영통구.남자(외),4627
대한민국.경기도.영통구.여자(외),4865
대한민국.경기도.연천군,
대한민국.경기도.연천군.남자(내),21164
대한민국.경기도.연천군.여자(내),19319
대한민국.경기도.연천군.남자(외),783
대한민국.경기도.연천군.여자(외),376
대한민국.경기도.여주시,
대한민국.경기도.여주시.남자(내),55044
대한민국.경기도.여주시.여자(내),53378
대한민국.경기도.여주시.남자(외),2880
대한민국.경기도.여주시.여자(외),1968
대한민국.경기도.양평군,
대한민국.경기도.양평군.남자(내),56759
대한민국.경기도.양평군.여자(내),56640
대한민국.경기도.양평군.남자(외),954
대한민국.경기도.양평군.여자(외),1263
대한민국.경기도.양주시,
대한민국.경기도.양주시.남자(내),115830
대한민국.경기도.양주시.여자(내),114342
대한민국.경기도.양주시.남자(외),6786
대한민국.경기도.양주시.여자(외),2842
대한민국.경기도.안양시,
대한민국.경기도.안양시.남자(내),260994
대한민국.경기도.안양시.여자(내),267605
대한민국.경기도.안양시.남자(외),4957
대한민국.경기도.안양시.여자(외),5373
대한민국.경기도.안성시,
대한민국.경기도.안성시.남자(내),95782
대한민국.경기도.안성시.여자(내),90196
대한민국.경기도.안성시.남자(외),11068
대한민국.경기도.안성시.여자(외),6851
대한민국.경기도.안산시,
대한민국.경기도.안산시.남자(내),326593
대한민국.경기도.안산시.여자(내),311863
대한민국.경기도.안산시.남자(외),44584
대한민국.경기도.안산시.여자(외),35344
대한민국.경기도.시흥시,
대한민국.경기도.시흥시.남자(내),261074
대한민국.경기도.시흥시.여자(내),239606
대한민국.경기도.시흥시.남자(외),31069
대한민국.경기도.시흥시.여자(외),22325
대한민국.경기도.수지구,
대한민국.경기도.수지구.남자(내),174916
대한민국.경기도.수지구.여자(내),183778
대한민국.경기도.수지구.남자(외),2052
대한민국.경기도.수지구.여자(외),2778
대한민국.경기도.수정구,
대한민국.경기도.수정구.남자(내),115890
대한민국.경기도.수정구.여자(내),113763
대한민국.경기도.수정구.남자(외),7257
대한민국.경기도.수정구.여자(외),7148
대한민국.경기도.수원시,
대한민국.경기도.수원시.남자(내),581519
대한민국.경기도.수원시.여자(내),572833
대한민국.경기도.수원시.남자(외),27864
대한민국.경기도.수원시.여자(외),26121
대한민국.경기도.성남시,
대한민국.경기도.성남시.남자(내),440440
대한민국.경기도.성남시.여자(내),449128
대한민국.경기도.성남시.남자(외),11508
대한민국.경기도.성남시.여자(외),12406
대한민국.경기도.상록구,
대한민국.경기도.상록구.남자(내),174858
대한민국.경기도.상록구.여자(내),168208
대한민국.경기도.상록구.남자(외),10789
대한민국.경기도.상록구.여자(외),10454
대한민국.경기도.분당구,
대한민국.경기도.분당구.남자(내),221022
대한민국.경기도.분당구.여자(내),233874
대한민국.경기도.분당구.남자(외),2405
대한민국.경기도.분당구.여자(외),2953
대한민국.경기도.부천시,
대한민국.경기도.부천시.남자(내),386819
대한민국.경기도.부천시.여자(내),396094
대한민국.경기도.부천시.남자(외),19785
대한민국.경기도.부천시.여자(외),19937
대한민국.경기도.만안구,
대한민국.경기도.만안구.남자(내),115922
대한민국.경기도.만안구.여자(내),116654
대한민국.경기도.만안구.남자(외),3940
대한민국.경기도.만안구.여자(외),3985
대한민국.경기도.동안구,
대한민국.경기도.동안구.남자(내),145072
대한민국.경기도.동안구.여자(내),150951
대한민국.경기도.동안구.남자(외),1017
대한민국.경기도.동안구.여자(외),1388
대한민국.경기도.동두천시,
대한민국.경기도.동두천시.남자(내),45103
대한민국.경기도.동두천시.여자(내),45614
대한민국.경기도.동두천시.남자(외),2325
대한민국.경기도.동두천시.여자(외),1870
대한민국.경기도.덕양구,
대한민국.경기도.덕양구.남자(내),227967
대한민국.경기도.덕양구.여자(내),234009
대한민국.경기도.덕양구.남자(외),3111
대한민국.경기도.덕양구.여자(외),3669
대한민국.경기도.단원구,
대한민국.경기도.단원구.남자(내),151735
대한민국.경기도.단원구.여자(내),143655
대한민국.경기도.단원구.남자(외),33795
대한민국.경기도.단원구.여자(외),24890
대한민국.경기도.남양주시,
대한민국.경기도.남양주시.남자(내),348943
대한민국.경기도.남양주시.여자(내),354338
대한민국.경기도.남양주시.남자(외),5727
대한민국.경기도.남양주시.여자(외),4541
대한민국.경기도.김포시,
대한민국.경기도.김포시.남자(내),232370
대한민국.경기도.김포시.여자(내),233115
대한민국.경기도.김포시.남자(외),19011
대한민국.경기도.김포시.여자(외),7076
대한민국.경기도.기흥구,
대한민국.경기도.기흥구.남자(내),211601
